trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.0035, 'e': 0.9600823090570362}",25,0,-149.34979416732784,"{0: 10, 1: 4, 2: 8, 3: 3, 4: 0}",0
82,False,"{'a': 0.0035, 'e': 0.9590974188070215}",20,0,-69.82210643716759,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
83,False,"{'a': 0.0035, 'e': 0.9581007796256201}",25,0,-151.09961442313622,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
84,False,"{'a': 0.0035, 'e': 0.9570924037216496}",25,0,-157.4256507873873,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
85,False,"{'a': 0.0035, 'e': 0.9560723034477021}",25,0,-85.4840970006506,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
86,False,"{'a': 0.0035, 'e': 0.9550404912999932}",25,0,-108.71888826456959,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
87,False,"{'a': 0.0035, 'e': 0.953996979918209}",20,0,-78.57822053977664,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
88,False,"{'a': 0.0035, 'e': 0.9529417820853506}",35,0,-219.13726846985602,"{0: 18, 1: 5, 2: 8, 3: 1, 4: 3}",0
89,False,"{'a': 0.0035, 'e': 0.9518749107275785}",20,0,-227.17886947545355,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
90,False,"{'a': 0.0035, 'e': 0.9507963789140532}",30,0,-149.7458596496577,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
91,False,"{'a': 0.0035, 'e': 0.9497061998567763}",20,0,-53.028154354402666,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.0035, 'e': 0.9486043869104273}",20,0,-109.36527934983093,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
93,False,"{'a': 0.0035, 'e': 0.9474909535722011}",20,0,-123.58798862636752,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
94,False,"{'a': 0.0035, 'e': 0.9463659134816423}",25,0,-105.93169846586642,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
95,False,"{'a': 0.0035, 'e': 0.9452292804204778}",20,0,-98.53772007375092,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
96,False,"{'a': 0.0035, 'e': 0.9440810683124485}",20,0,-71.77266712749241,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.0035, 'e': 0.9429212912231383}",25,0,-145.30436289968975,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
98,False,"{'a': 0.0035, 'e': 0.941749963359802}",25,0,-135.02814620134,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
99,False,"{'a': 0.0035, 'e': 0.9405670990711913}",25,0,-268.3438906984659,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 5}",0
100,False,"{'a': 0.0035, 'e': 0.9393727128473789}",20,0,-100.22330708826216,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
101,False,"{'a': 0.0035, 'e': 0.9381668193195812}",30,0,-182.5587850322609,"{0: 14, 1: 8, 2: 4, 3: 2, 4: 2}",0
